Nazwa produktu	wartośćenergetyczna	białko	tłuszcz	węglowodany	sód	potas	wapń	Żelazo	Witamina C	Witamina A	błonnik
Mąka pszenna, typ 2000	317	11.1	2.4	70.5	4	340	37	3.8	0	0	8.9
Mąka żytnia, typ 580	327	5.5	1.5	78.1	2	155	19	1.1	0	0	6.4
Mąka żytnia, typ 720	327	5.9	1.7	77.4	2	190	21	1.4	0	0	6.4
Mąka żytnia, typ 1400	325	7	2.2	75.4	2	313	32	2.5	0	0	7.3
Mąka żytnia, typ 1850	321	7.3	2.2	75	3	361	33	3.1	0	0	8
Mąka żytnia, typ 2000	319	7.9	2.2	74.2	3	420	37	3.4	0	0	8.5
Semolina	346	10.1	1.3	75	1	170	18	1	0	0	2.8
Skrobia kukurydziana	353	0.2	0	88.5	2	7	11	0.2	0	0	1.7
Ziarno pszenicy	317	11.1	2.4	70.5	4	340	37	3.8	0	0	8.9
Ziarno żyta	319	7.9	2.2	74.2	3	420	37	3.4	0	0	8.5
Kasza gryczana	336	12.6	3.1	69.3	5	443	25	2.8	0	0	5.9
Kasza jaglana	346	10.5	2.9	71.6	5	220	10	4.8	0	0	3.2
Kasza jęczmienna perłowa	327	6.9	2.2	75	4	264	20	1.6	0	0	6.2
Kasza jęczmienna, pęczak	334	8.4	2	74.9	5	228	20	1.9	0	0	5.4
Kasza manna	348	8.7	1.3	76.7	3	116	17	0.9	0	0	2.5
Ryż biały	344	6.7	0.7	78.9	6	111	10	0.8	0	0	2.4
Ryż brązowy	322	7.1	1.9	76.8	10	260	32	1.3	0	0	8.7
Makaron bezjajeczny	363	10	1.6	78.5	2	149	20	1.3	0	0	2.7
Makaron bezjajeczny z semoliny	366	10.7	1.4	79.4	1	180	19	1.1	0	0	3
Makaron dwujajeczny	373	11.5	2.6	77.4	17	173	24	1.6	0	1	2.7
Makaron czterojajeczny	377	12	3.4	76.2	28	187	29	1.7	0	2	2.8
Makaron dwujajeczny z semoliny	374	11.9	2.4	77.8	16	191	24	1.3	0	1	2.9
Chleb żytni pełnoziarnisty	237	6.7	1.8	53.9	454	356	66	2.5	0	0	6.1
Chleb żytni jasny	241	4	1.3	57.1	455	115	14	0.8	0	0	4.7
Chleb żytni jasny mleczny	253	4.8	1.8	58.3	467	145	41	0.8	0	3	4.7
Chleb żytni pytlowy	239	4.4	1.5	56.2	449	147	16	1.1	0	0	4.9
Chleb żytni razowy	223	5.6	1.7	51.5	457	279	25	2.3	0	0	5.9
Chleb żytni razowy litewski	233	6.3	1.7	52.9	358	314	61	2.2	0	0	5.5
Chleb żytni razowy na miodzie	234	5.3	1.6	54.2	347	260	24	2.1	0	0	5.4
Chleb żytni razowy wytrawny	227	6.7	1.7	51.1	507	334	71	2.3	0	0	5.6
Chleb żytni razowy z soją i słonecznikiem	244	7.9	3.7	50.5	391	411	41	2.8	0	1	6.5
Chleb żytni sitkowy	229	5.2	1.5	53.2	465	217	23	1.8	0	0	5.3
Chleb żytni starogardzki	223	4.2	1.3	52.1	409	128	15	1	0	0	4.2
Chleb staropolski	219	5	1.7	50.5	447	232	22	2	0	0	5.3
Chleb żytni wileński	225	4.4	1.5	52.3	353	179	19	1.4	0	0	4.6
Pumpernikiel	252	5.8	2	58.3	395	310	28	2.5	0	1	6.4
Chleb baltonowski	246	5.9	1.5	55.9	434	136	16	1.2	0	0	4.5
Chleb chrupki	353	8.7	2.4	78.9	272	448	42	4	0	10	6
Chleb mazowiecki	248	6.3	1.4	56.3	394	140	16	1.3	0	0	4.6
Chleb mieszany słonecznikowy	246	6.4	4.5	49.2	387	233	28	1.8	0	2	4.8
Chleb mieszany z soją	232	6.8	2.7	49.6	386	303	33	2	0	1	5.3
Chleb mleczny	251	6.6	1.5	56.4	397	175	46	1.2	0	0	4.4
Chleb nałęczowski	244	5.7	1.3	56.2	389	142	16	1.2	0	0	4.7
Chleb poleski	249	6.3	2.1	55.3	391	199	22	1.7	0	0	5
Chleb praski	244	5.7	1.3	56.2	389	142	16	1.2	0	0	4.7
Chleb wiejski	241	5.8	1.3	55.1	371	136	17	1.2	0	0	4.5
Chleb wielkopolski	250	6	1.5	57.3	431	162	17	1.3	0	0	4.9
Chleb zakopiański	261	6.8	1.9	57.9	404	185	52	1.3	0	4	4.7
Chleb zwykły	245	5.4	1.3	57	391	148	17	1.2	0	0	4.9
Bagietki francuskie	283	7.9	1.7	60.1	708	124	17	1.2	0	0	2.2
Bułki grahamki	258	8.2	1.7	56.9	474	228	24	2.3	0	0	5.4
Bułki pszenne zwykłe	272	7.3	1.5	58.5	377	112	15	1.1	0	0	2.1
Bułka tarta	347	9.7	1.9	77.6	503	202	27	2.2	0	0	6.1
Chleb Graham	226	7.6	1.7	49.4	432	215	22	2.2	0	0	5
Chleb pszenny	249	6.8	1.4	56	454	137	16	1.3	0	0	4.5
Chleb pszenny z ziarnem pszenicy	228	7.7	1.8	50	411	224	23	2.4	0	0	5.5
Bułeczki do hot dogów	339	8.7	7.5	60.6	433	154	40	1.3	0	1	2.1
Bułki mleczne	313	8.3	4.5	61.2	433	149	40	1.2	0	2	2.2
Bułki owsiane	304	8.7	4.5	59.1	417	198	53	1.5	0	0	2.8
Bułki sojowe	328	9.7	4.2	64.6	429	225	47	1.5	0	2	2.6
Bułki wrocławskie	293	7.2	4.4	57.4	400	111	15	1.1	0	0	2
Kajzerki	295	7.5	3.6	59.4	464	116	16	1.1	0	0	2.1
Pieczywo tostowe	305	8.1	4.7	58.8	488	161	47	1.2	0	4	2.1
Strucle wrocławskie	302	8.1	4.8	57.6	387	158	56	1.1	0	8	1.9
Pieczywo tostowe Graham	273	7.5	4.2	53.8	543	152	18	1.5	0	0	3.3
Bułki i rogale maślane	326	7.7	5.9	61.8	396	133	33	1.1	0	2	2
Chałki zdobne	332	7	7	61.6	278	113	15	1.1	0	0	2
Pieczywo półfrancuskie z dżemem	409	7.6	9.9	73.7	285	203	47	1.5	0.4	92	2.2
Pieczywo półfrancuskie z serem	394	9.9	10	67.3	290	149	51	1.1	0.1	3	1.9
Rogale kruche	338	7.6	7.5	61.4	406	128	25	1.1	0	6	2.1
Chrupki kukurydziane	352	8.9	3	78.9	12	206	3	1.8	0	0	7.6
Musli z owocami suszonymi	325	8.4	3.4	72.2	101	564	49	3.1	3	513	8
Musli z rodzynkami i orzechami	375	11.5	12.7	62.9	122	443	71	3.9	0.6	4	9.7
Otręby pszenne	185	16	4.6	61.9	9	1121	119	14.9	0	0	42.4
Płatki jęczmienne	355	9.8	3.6	79.4	651	388	31	3.6	0	0	9.6
Płatki kukurydziane	363	6.9	2.5	83.6	1167	100	8	0.8	0	0	6.6
Płatki kukurydziane wzbogacane	363	6.9	2.5	83.6	1167	100	8	14	51	0	6.6
Płatki owsiane	366	11.9	7.2	69.3	5	379	54	3.9	0	0	6.9
Płatki pszenne	351	9	3	81	644	360	31	3.4	0	0	10.1
Płatki żytnie	343	6.4	3.2	82.6	662	422	28	2.7	0	0	11.6
Ryż preparowany	361	6.3	1.6	84.1	3	113	6	0.6	0	0	5
Zarodki pszenne	323	27.5	9.4	45.5	3	1024	51	9	0	0	14
Paszteciki drożdżowe z mięsem	308	8.4	18.4	28.8	507	188	32	1.3	0.9	20	1.5
Pizza mięsno-ziołowa	327	16.5	13.4	36.8	710	346	315	2.3	2.9	587	1.9
Pizza z pieczarkami i cebulą	289	12	13.3	32.1	376	309	276	2	3	416	2
Bakłażan	21	1.1	0.1	6.3	2	305	18	0.6	2	42	2.5
Boćwina	17	2.1	0.5	5.5	56	548	97	2.2	34	4020	4.4
Bób	66	7.1	0.4	14	7	261	60	1.9	32	170	5.8
Brokuły	27	3	0.4	5.2	7	385	48	0.9	83	920	2.5
Brukselka	37	4.7	0.5	8.7	10	416	57	0.9	94	447	5.4
Burak	38	1.8	0.1	9.5	52	348	41	1.7	10	12	2.2
Cebula	30	1.4	0.4	6.9	6	121	25	0.5	6	12	1.7
Chrzan	67	4.5	0.6	18.1	7	740	78	1.2	114	20	7.3
Cukinia	15	1.2	0.1	3.2	3	250	15	0.4	9	205	1
Cykoria	21	1.7	0.2	4.1	6	237	32	0.9	10	1586	1
Czosnek	146	6.4	0.5	32.6	17	400	41	1.7	31	0	4.1
Dynia	28	1.3	0.3	7.7	4	278	66	0.8	8	2974	2.8
Fasola biała, nasiona suche	288	21.4	1.6	61.6	19	1188	163	6.9	2	0	15.7
Fasola mung, kiełki	29	3	0.4	6.2	2	132	13	0.7	13	12	3
Fasola szparagowa	27	2.4	0.2	7.6	6	264	65	1.1	23.8	378	3.9
Groch, nasiona suche	293	23.8	1.4	60.2	30	937	57	4.7	2	117	15
Groszek zielony	76	6.7	0.4	17	2	353	22	1.9	34.2	408	6
Jarmuż	29	3.3	0.7	6.1	12	530	157	1.7	120	5350	3.8
Kalafior	22	2.4	0.2	5	26	214	13	0.6	69	10	2.4
Kalarepa	29	2.2	0.3	6.5	8	304	42	0.9	64.7	200	2.2
Kapusta biała	29	1.7	0.2	7.4	19	228	67	0.3	48	52	2.5
Kapusta czerwona	27	1.9	0.2	6.7	11	269	46	0.5	54	15	2.5
Kapusta pekińska	12	1.2	0.2	3.2	9	150	45	0.3	27	840	1.9
Kapusta włoska	38	3.3	0.4	7.8	9	306	77	0.4	60	42	2.6
Koper ogrodowy	26	2.8	0.4	6.1	7	396	64	2.7	31	2100	3.3
Kukurydza, kolby	110	3.7	1.5	23.4	7	283	6	0.8	12	56	3.3
Marchew	27	1	0.2	8.7	82	282	36	0.5	3.4	9938	3.6
Ogórek	13	0.7	0.1	2.9	11	125	15	0.2	8	170	0.5
Papryka czerwona	28	1.3	0.5	6.6	3	255	13	0.6	144	3165	2
Papryka zielona	18	1.1	0.3	4.6	2	176	12	0.5	91	193	2
Pasternak	56	1.6	0.6	15.5	3	490	41	0.7	17	20	4.5
Pietruszka, korzeń	38	2.6	0.5	10.5	49	399	43	1.1	45	30	4.9
Pietruszka, liście	41	4.4	0.4	9	39	695	193	5	177.7	5410	4.2
Pomidor	15	0.9	0.2	3.6	8	282	9	0.5	23	640	1.2
Por	24	2.2	0.3	5.7	6	248	48	1.1	20.2	885	2.7
Rabarbar	9	0.5	0.1	4.6	2	136	52	0.6	9	61	3.2
Rzepa	26	1.1	0.3	8.2	17	280	40	0.5	16	60	3.5
Rzodkiewka	14	1	0.2	4.4	11	236	29	0.8	20.6	9	2.5
Sałata	14	1.4	0.2	2.9	4	134	24	0.7	13	1153	1.4
Seler korzeniowy	21	1.6	0.3	7.7	86	320	40	0.5	8.2	21	4.9
Seler naciowy	13	1	0.2	3.6	62	320	41	0.4	3.4	60	1.8
Soczewica czerwona, nasiona suche	327	25.4	3	57.5	2	874	46	5.8	3	60	8.9
Soczewica, kiełki	120	9	0.6	22.1	9	292	29	2.9	17	30	3
Soja, nasiona suche	382	34.3	19.6	32.7	1	2132	240	8.9	0	12	15.7
Soja, kiełki	141	13.1	6.7	9.6	14	484	67	2.1	15	6	2.6
Szczaw	21	1.1	0.8	4.9	14	333	80	2	35	3848	2.6
Szczypiorek	29	4.1	0.8	3.9	2	252	97	1.3	41	3400	2.5
Szparagi	18	1.9	0.2	3.7	2	300	22	0.7	26	608	1.5
Szpinak	16	2.6	0.4	3	26	235	93	2.8	67.8	4243	2.6
Ziemniaki wczesne	69	1.8	0.1	16.3	7	415	4	0.5	16	5	1.3
Ziemniaki późne	85	1.9	0.1	20.5	7	491	4	0.6	11	5	1.6
Ziemniaki, średnio	77	1.9	0.1	18.3	7	443	4	0.5	14	5	1.5
Brokuły mrożone	24	2.7	0.4	4.7	6	312	39	0.7	52.3	828	2.3
Brukselka mrożona	36	4.5	0.5	8.4	9	359	49	0.8	63.2	429	5.2
Buraki puree mrożone	34	1.6	0.1	8.6	42	282	33	1.4	6.3	11	2
Fasolka szparagowa mrożona	24	2.2	0.2	6.8	5	214	53	0.9	15	340	3.5
Groszek zielony mrożony	72	6.4	0.4	16.3	2	305	19	1.6	23	392	5.8
Kalafior mrożony	20	2.2	0.2	4.5	21	173	11	0.5	43.5	9	2.2
Marchew mrożona	24	0.9	0.2	7.8	66	228	29	0.4	2.1	8944	3.2
Ogórki, mizeria mrożone	12	0.6	0.1	2.6	9	101	12	0.2	5	153	0.5
Pomidor mrożony	15	0.9	0.2	3.6	8	282	9	0.5	20.7	640	1.2
Szpinak mrożony	15	2.3	0.4	2.7	21	190	75	2.3	42.7	3819	2.3
Barszcz ukraiński mrożony	28	1.6	0.2	7.1	30	256	34	0.9	13.2	1048	2.3
Bukiet z jarzyn wiosennych mrożony	30	2.8	0.3	7.5	19	235	33	0.8	29.6	1550	3.6
Bukiet z jarzyn z makaronem mrożony	132	5.3	1.2	27.8	23	244	29	1.4	27.8	2518	3.1
Bukiet z jarzyn z ryżem mrożony	66	2.4	0.3	15.6	16	261	16	0.7	28.7	1506	2.3
Kapuśniak mrożony	36	1.4	0.2	9	21	253	30	0.4	19.2	1191	2.1
Marchew z groszkiem mrożona	39	2.6	0.3	10.4	47	251	26	0.8	8.4	6378	4
Paprykarz mrożony	19	1.1	0.3	4.4	5	265	14	0.5	49.7	1148	1.5
Sałatka jarzynowa z kukurydzą mrożona	63	3.4	0.6	14.8	29	256	19	1	10.2	3711	4
Sałatka meksykańska mrożona	45	2.5	0.5	10.8	23	243	24	0.7	34	2542	3.4
Sałata skandynawska mrożona	28	1.9	0.2	6.9	36	315	38	1	34.1	2124	2.4
Włoszczyzna krojona w paski mrożona	25	1.4	0.3	7.9	58	261	32	0.6	10.3	4081	3.8
Zupa jesienna mrożona	27	1.6	0.2	7.2	36	241	30	0.8	17.1	2322	2.5
Zupa kalafiorowa mrożona	22	2	0.2	5.5	30	197	18	0.5	33.6	1395	2.6
Zupa włoska mrożona	27	1.8	0.3	6.9	32	239	20	0.6	18.8	2887	2.8
Zupa ziemniaczana mrożona	41	1.5	0.2	11	37	293	22	0.6	8.9	2753	2.8
Zupa zimowa mrożona	25	2.1	0.3	6.9	34	236	34	0.7	23.1	3310	3.4
Fasola cięta, konserwowa bez zalewy	16	1.5	0.2	4.5	256	124	43	1.3	2.6	256	2.4
Fasolka flageolet, konserwowa	61	6.3	0.2	15	291	299	56	1.9	3.7	85	6.7
Groszek zielony, konserwowy bez zalewy	63	4.9	0.2	15.8	178	114	40	1.7	4	253	5.7
Kapusta kwaszona	11	1.1	0.2	3.4	260	211	36	0.5	16	18	2.1
Koncentrat pomidorowy 30%	92	5.6	1.5	16.7	30	1072	55	1.9	38.1	3448	2.8
Mąka sojowa pełnotłusta	424	45	23.5	20.1	1	2307	269	9.1	0	66	11.9
Ogórek kwaszony	11	1	0.1	1.9	703	99	18	0.4	4	100	0.5
Papryka czerwona konserwowa	30	0.8	1.5	5	291	78	14	3	81.2	800	1.8
Skrobia ziemniaczana	342	0.6	0.1	83.9	5	14	39	0.6	1.3	0	0.4
Sos keczup	93	1.8	1	22.2	962	335	27	1.4	22.7	1049	3.2
Szparagi konserwowe	19	2.1	0.7	2.5	290	130	14	0.4	15	169	1.5
Kukurydza konserwowa	103	2.9	1.2	23.6	270	220	4	0.5	1	210	3.9
Pieczarka uprawna, świeża	17	2.7	0.4	2.6	6	289	11	0.9	5	10	2
Agrest	41	0.8	0.2	11.8	2	230	20	0.5	25.9	160	3
Ananas	54	0.4	0.2	13.6	1	220	17	0.3	15	42	1.2
Arbuz	36	0.6	0.1	8.4	1	130	6	0.2	10	230	0.3
Awokado	160	2	15.3	7.4	10	600	11	1	8	42	3.3
Banan	95	1	0.3	23.5	1	395	6	0.4	9	48	1.7
Brzoskwinia	46	1	0.2	11.9	3	200	9	0.6	2.7	595	1.9
Cytryna	36	0.8	0.3	9.5	5	125	40	0.6	50	3	2
Czarne jagody	45	0.8	0.6	12.2	1	62	15	0.7	14.7	34	3.2
Czereśnie	61	1	0.3	14.6	2	202	13	0.3	15	69	1.3
Grejpfrut	36	0.6	0.2	9.8	2	277	22	0.2	40	19	1.9
Gruszka	54	0.6	0.2	14.4	2	118	12	0.3	5.3	11	2.1
Gujawa	38	0.8	0.6	11.9	5	210	12	0.4	230	475	4.7
Jabłko	46	0.4	0.4	12.1	2	134	4	0.3	9.2	24	2
Kiwi	56	0.9	0.5	13.9	4	290	25	0.4	59	43	2.1
Maliny	29	1.3	0.3	12	2	203	35	0.8	31.4	16	6.7
Mandarynki	42	0.6	0.2	11.2	1	189	30	0.3	30.8	97	1.9
Mango	67	0.5	0.3	17	7	201	11	0.5	28	2350	1.7
Melon	36	0.9	0.3	8.4	22	382	27	0.5	20	1100	1
Morele	47	0.9	0.2	11.9	1	275	23	0.6	6.7	1523	1.7
Nektarynka	49	0.9	0.2	11.8	1	214	9	0.5	13.7	103	1.2
Papaja	41	0.6	0.1	11.1	3	255	24	0.1	62	1200	1.9
Pomarańcza	44	0.9	0.2	11.3	3	183	33	0.4	49	114	1.9
Porzeczki białe	33	1	0.2	13.1	1	275	30	1	40	0	6.4
Porzeczki czarne	36	1.3	0.2	14.9	2	336	39	1.2	182.6	81	7.9
Porzeczki czerwone	31	1.1	0.2	13.8	2	259	36	0.9	45.8	24	7.7
Poziomki	33	0.8	0.5	8.3	1	147	28	0.8	60	14	2
Śliwki	45	0.6	0.2	11.7	2	208	16	0.5	5.2	295	1.6
Truskawki	28	0.7	0.4	7.2	1	133	26	0.7	66	14	1.8
Winogrona	69	0.5	0.2	17.6	2	226	17	0.3	5.4	20	1.5
Wiśnie	47	0.9	0.4	10.9	3	150	13	0.3	12	240	1
Czarne jagody mrożone	45	0.8	0.6	12.2	1	62	15	0.7	13.2	34	3.2
Maliny mrożone	29	1.3	0.3	12	2	203	35	0.8	28.3	16	6.7
Porzeczki czarne mrożone	36	1.3	0.2	14.9	2	336	39	1.2	164.3	81	7.9
Śliwki bez pestek mrożone	45	0.6	0.2	11.7	2	208	16	0.5	4.7	295	1.6
Truskawki mrożone	28	0.7	0.4	7.2	1	133	26	0.7	59.4	14	1.8
Wiśnie bez pestkek mrożone	47	0.9	0.4	10.9	3	150	13	0.3	10.8	240	1
Mieszanka owocowa mrożona	40	0.9	0.3	12.1	2	215	23	0.6	24.9	143	3.8
Banany suszone	360	3.8	1.1	88.8	4	1493	23	1.5	0.2	181	6.4
Daktyle suszone	277	2	0.4	74	35	688	70	2	3	40	8.7
Figi suszone	290	3.6	1.2	78	44	938	203	3.3	2.5	78	12.9
Jabłka suszone	238	2.1	2.1	62.3	10	665	20	1.5	11.6	124	10.3
Morele suszone	284	5.4	1.2	72.2	5	1666	139	3.6	31.7	7842	10.3
Rodzynki suszone	277	2.3	0.5	71.2	21	833	78	2.3	1	12	6.5
Śliwki suszone z pestką	266	3.5	1.2	68.9	12	804	72	1.5	5.6	925	9.4
Dżem ananasowy niskosłodzony	157	0.2	0.1	38.6	1	89	7	0.1	2.5	17	0.5
Dżem brzoskwiniowy niskosłodzony	155	0.5	0.1	38.3	2	94	5	0.3	1.8	279	0.9
Dżem z czarnych porzeczek niskosłodzony	152	0.5	0.1	39.6	1	119	14	0.4	29.3	28	2.8
Dżem z czarnych porzeczek wysokosłodzony	251	0.5	0.1	63.9	1	120	14	0.4	32.3	29	2.8
Dżem jagodowy niskosłodzony	153	0.3	0.2	38.2	1	26	6	0.3	2.9	14	1.3
Dżem z kiwi niskosłodzony	154	0.4	0.2	37.8	2	114	10	0.2	9.5	17	0.8
Dżem morelowy niskosłodzony	157	0.4	0.1	38.8	1	121	10	0.3	1.4	668	0.7
Dżem pomarańczowy niskosłodzony	159	0.3	0.1	39.2	1	56	10	0.1	7.3	35	0.6
Dżem śliwkowy niskosłodzony	153	0.3	0.1	37.9	1	102	8	0.2	1.3	144	0.8
Dżem śliwkowy wysokosłodzony	251	0.3	0.1	62.1	2	104	8	0.2	1.3	145	0.8
Dżem truskawkowy niskosłodzony	153	0.3	0.2	37.8	1	63	13	0.3	11.4	7	0.8
Dżem truskawkowy wysokosłodzony	252	0.3	0.2	62.3	1	64	13	0.3	11.5	7	0.9
Dżem wiśniowy niskosłodzony	154	0.4	0.2	37.5	2	68	6	0.1	2.7	108	0.4
Dżem wiśniowy wysokosłodzony	252	0.4	0.2	61.7	2	72	7	0.1	2.8	114	0.5
Powidła śliwkowe	214	1	0.2	53	3	346	40	2.2	3	460	1.8
Ananas, plastry w syropie	84	0.4	0.1	21	1	105	14	0.2	8	18	1
Oliwki zielone marynowane	125	1.4	12.7	4.1	2400	55	61	1.6	0	180	2.4
Brzoskwinia w syropie	73	0.4	0.1	18.2	6	92	3	0.3	4	260	0.9
Migdały	572	20	52	20.5	14	778	239	3	5.6	0	12.9
Orzechy arachidowe	560	25.7	46.1	19.2	16	720	58	3.2	0	0	7.3
Orzech kokosowy	335	3.4	33.5	15.2	20	355	14	1.8	3	0	9
Wiórki kokosowe	606	5.6	63.2	27	28	660	23	3.6	0	0	21.1
Orzechy laskowe	640	14.4	63	14.9	2	616	186	3.4	3	30	8.9
Orzechy pistacjowe	589	20.5	48.5	25	6	1090	135	6.7	0	140	6.1
Orzechy włoskie	645	16	60.3	18	4	474	87	1.8	5.8	48	6.5
Mak niebieski	478	20.1	42.9	24.7	6	963	1266	8.1	0	0	20.5
Sezam, nasiona	632	23.2	59.9	10	13	387	114	5.9	0	12	7.9
Słonecznik, nasiona	561	24.4	43.7	24.6	3	793	131	4.2	0	30	6
Dynia, pestki	556	24.5	45.8	18	18	810	43	15	0	228	5.3
Cukier	406	0	0	99.8	1	2	1	0	0	0	0
Miód pszczeli	324	0.3	0	79.5	7	46	5	0.9	1.4	0	0
Miód sztuczny	336	0.1	0	82.5	19	5	6	0	0	0	0
Irysy, krówki	421	4.3	10.7	76.1	97	266	181	0.2	0	30	0
Karmelki nadziewane	378	0.3	0.5	92	80	18	23	1.4	0	0	0.3
Karmelki twarde	399	0	0	98.2	30	3	23	0.4	0	0	0
Kakao 16%, proszek	448	18.2	21.7	50.6	17	1927	138	10.7	0	12	5.7
Baton Bounty Milk	448	4.2	25.2	56.7	128	263	57	1.5	0	6	5.4
Baton Mars	451	3.6	18.2	68.9	186	192	95	1.2	0	10	1
Baton Milky Way	448	3.6	16.2	71.8	242	145	90	1.1	0	6	0.5
Baton Snickers	497	9.7	28.9	52.6	359	312	98	1.3	0	6	2.9
Baton Twix	483	5.3	23.2	64.2	170	159	109	1.3	0	10	1
Czekolada deserowa	531	5.3	28.9	64	3	456	33	1.7	0	18	1.4
Czekolada gorzka	554	6.7	34.3	56.6	4	581	42	2.1	0	23	1.7
Czekolada kawowa	526	5.5	29	62.7	5	498	36	1.8	0	18	1.8
Czekolada mleczna	549	9.8	32.8	54.7	95	607	294	1.2	1.4	49	0.7
Czekolada mleczna z orzechami laskowymi	539	8.6	30.9	57.3	100	474	300	0.7	1.5	24	0.4
Czekolada nadziewana	450	3.9	17.6	68.8	25	226	58	3.7	0	10	0.3
Czekolada śmietankowa z orzechami laskowymi	585	8.6	42.3	45.7	90	497	222	1.4	0.6	31	2.3
Czekolada biała	578	7.7	38.4	51	105	409	304	0.4	1.4	1	0
Delicje szampańskie	327	4.1	11.2	52.8	133	347	36	1.9	1.7	17	0.7
Herbatniki	437	8.2	11	76.8	297	123	35	1.3	0	1	1.3
"Herbatniki ""Corso"""	440	5	17.2	67.1	111	144	27	1.1	0.3	95	1.3
Herbatniki z cukrem	460	6.7	17.2	70.7	130	97	38	0.9	0	1	1.6
Herbatniki z czekoladą	493	5.9	25.5	61.2	134	240	44	1.5	0	1	1.2
Herbatniki w czekoladzie	489	6.3	24	63.1	134	426	44	2.5	0	1	1.2
Herbatniki w czekoladzie z orzechami	492	6	23.7	64.7	140	279	52	1.7	0	1	1.2
Herbatniki kakaowe	474	6.9	22.3	62.9	137	182	50	1.3	0	2	1.6
Herbatniki kokosowe	473	6.4	25.2	59.8	141	192	49	1.3	0.1	2	4.5
Herbatniki z nadzieniem czekoladowym	497	5.5	27.9	57.3	128	188	68	1.1	0.2	2	1.3
Herbatniki z nadzieniem owocowym	390	3.8	16.1	58.6	120	180	37	1.3	0.6	171	1.5
Herbatniki sezamowe	503	8.1	28.6	55.7	133	128	53	1.5	0	3	2.2
Markizy	483	5.6	23	64.3	129	113	56	0.7	0.2	1	1.2
Paluszki z kminkiem	489	16.5	30.5	38.9	894	223	77	3.4	0	16	1.3
Pierniki alpejskie	367	4	9.7	66.3	174	382	95	2.7	0.4	136	1.2
