Nazwa produktu	wartośćenergetyczna	białko	tłuszcz	węglowodany	sód	potas	wapń	Żelazo	Witamina C	Witamina A	błonnik
Pierniki beskidzkie	338	3.5	1.6	77.3	193	62	98	0.6	0.9	2	1
Solinki, paluszki	385	9.9	4.9	75.2	1093	141	24	1.7	0	0	1
Wafle nadziewane	519	8.3	27.5	60.7	111	163	86	0.8	0	34	1.2
Wafle w czekoladzie	553	7.4	33.9	55.6	91	645	138	2.8	0.7	17	0.7
Sezamki	505	10.2	26.4	60.1	84	171	51	2.6	0	5	3.5
Babka biszkoptowa	340	8.2	4.3	67.1	56	101	27	1.3	0	5	0.9
Bułeczki drożdżowe z jabłkami	268	5.9	7.3	46.2	103	159	29	1	2	13	2.1
Ciasto drożdżowe	290	7.4	8.2	47.7	139	132	36	1.1	0.1	16	1.6
Ciasto kruche podstawowe	429	5.2	23.8	49.9	26	74	14	0.7	0	50	1.2
Ciastka francuskie ze śliwkami	432	5	26.8	44.8	160	147	20	0.9	1	169	1.7
"Ciastka ""Karpatki"""	449	4.7	30.9	39.1	64	60	19	0.8	0	37	0.5
"Ciastka ""Napoleonki"""	348	5.9	17	43.6	131	111	55	0.8	0.2	6	0.8
Ciastka tortowe z owocami świeżymi	276	3.2	9	47.2	27	133	24	1	15.4	74	2
Eklery z bitą śmietaną	317	5.8	18	33.5	60	104	44	1	0.1	78	0.5
Jagodzianki	314	7.1	5.4	60.6	137	129	36	1.2	1.6	10	2.1
Keks bakaliowy	384	6.4	17.6	53.5	47	343	61	1.6	0.3	40	3.6
Piernik z bakaliami	341	5.9	9.8	59.4	126	272	41	1.6	0.2	6	2.7
Placek z kruszonką	344	7.1	10.3	56.7	35	125	39	1	0.1	3	1.5
Ptysie z bitą śmietaną	347	5.4	25	25.8	60	108	65	0.7	0	113	0.3
Rolada z masą makową	340	9.2	15.8	44.5	51	349	240	2.7	0.5	235	4.3
Rożki z ciasta francuskiego z jabłkami	392	4.7	25.3	38.5	149	116	14	0.8	1.7	62	1.8
Sernik bez ciasta	361	13.5	18.3	36.2	64	150	69	0.8	0.1	80	0.7
Sernik krakowski	325	13.8	13.4	37.7	85	132	89	0.6	0.3	116	0.6
Sernik z rodzynkami	333	13.9	13.4	39.7	86	156	91	0.6	0.3	116	0.8
Sernik wiedeński z polewą kakaową	305	12.5	14.5	31.5	95	175	53	1.8	0	40	0.5
Tort ananasowy	307	4.4	10.8	48.3	56	76	19	0.8	0.9	21	0.7
Herbata, napar bez cukru	0	0.1	0	0	11	16	5	0.1	0	0	0
Kawa, napar bez cukru	2	0.2	0	0.3	14	126	9	0.2	0	0	0
Sok ananasowy	48	0.3	0.1	11.4	1	134	17	0.3	6	6	0.1
Sok z czarnej porzeczki	53	0.3	0.1	12.7	1	60	14	1	23.4	27	0.1
Sok cytrynowy	30	0.4	0.3	6.4	1	102	11	0.1	50	12	0.1
Sok grejpfrutowy	40	0.5	0.1	9.2	1	102	11	0.1	38	6	0.1
Sok jabłkowy	42	0.1	0.1	10	2	110	9	0.2	2.3	12	0
Sok marchwiowy	43	0.4	0.1	11.3	29	99	13	0.2	1.2	3478	1.3
Sok marchwiowo-brzoskwiniowy	43	0.5	0.1	11.3	21	111	11	0.2	1.4	2604	1.3
Sok marchwiowo-jabłkowy	46	0.5	0.3	12.3	30	163	15	0.3	5.6	3490	2.2
Sok marchwiowo-jabłkowo-pomarańczowy	44	0.6	0.2	11.8	26	153	18	0.3	13	3010	1.9
Sok marchwiowo-pomarańczowy	40	0.6	0.1	10.8	26	149	22	0.3	18.2	3021	1.7
Sok z marchwi, jabłek i owoców tropikalnych	52	0.7	0.3	14	27	208	17	0.4	26.4	3195	2.6
Sok pomarańczowy	43	0.6	0.1	9.9	2	175	8	0.4	43.1	78	0.1
Sok pomidorowy	13	0.8	0.1	2.6	126	206	8	0.3	14.8	498	0.4
Sok wielowarzywny	25	1	0.3	5.7	312	190	16	0.5	12	1001	1.2
Coca Cola, Pepsi Cola	42	0	0	10.4	14	2	8	0	0	0	0
Napoje gazowane o smaku owocowym	42	0	0	10.3	8	27	7	0	1	0	0
Lemoniada	24	0	0	5.8	7	15	5	0	0	0	0
Piwo pełne 10-15%	49	0.5	0	3.8	3	26	6	0.1	0	0	0
Szampan	76	0.3	0	1.4	4	57	3	0.5	0	0	0
Wermut słodki	155	0	0	15.9	28	30	6	0.4	0	0	0
Wino białe półwytrawne	81	0	0	3.7	3	70	10	1.8	0	0	0
Wino białe słodkie	95	0.2	0	5.9	13	110	14	0.6	0	0	0
Wino białe wytrawne	66	0.1	0	0.6	4	61	9	0.5	0	0	0
Wino czerwone	68	0.1	0	0.2	7	110	7	0.9	0	0	0
Wódki	220	0	0	0	0	0	0	0	0	0	0
Drożdże piekarskie, prasowane	92	11.3	2	14.5	41	592	30	5	0	0	7.4
Chipsy bekonowe	537	5.9	38	52.2	746	828	31	1.7	17	0	8.7
Chipsy paprykowe	549	6	40	50.4	859	893	34	1.6	17	0	8.4
Chipsy solone	552	5.6	40.7	49.9	690	801	18	1.7	17	0	8.3
"Przyprawa ""Jarzynka"""	90	1.9	0.4	23.3	23982	354	74	1.5	1.4	868	4
Majonez domowy z olejem rzepakowym	714	1.3	79	2.6	396	15	14	0.5	0	2	0.1
Majonez domowy z olejem słonecznikowym	714	1.3	79	2.6	396	15	14	0.6	0	2	0.1
Musztarda	162	5.7	6.4	22	760	165	95	1.8	0	0	1.7
Sól biała	0	0	0	0	38850	0	29	0.2	0	0	0
Żelatyna	343	84.2	0.1	0	32	22	11	0	0	0	0
Barszcz czerwony zabielany	32	2	1.4	3.3	39	86	16	0.5	1	9	0.4
Barszcz ukraiński I	36	1.9	0.6	6.9	60	206	26	0.8	6.3	575	1.3
Barszcz ukraiński II	53	2.1	2.7	6.5	29	175	23	0.6	4.5	484	1.4
Barszcz z boćwiną	29	1.5	1.7	2.5	25	74	17	0.4	1.6	297	0.5
Kapuśniak z kapusty kwaszonej	22	1.4	1.2	1.6	59	48	8	0.2	1.6	22	0.3
Kapuśniak ze słodkiej kapusty	31	0.7	2.1	3.2	11	87	20	0.2	6	335	0.8
Krem z zielonego groszku	64	3.1	3.8	5.9	21	115	19	0.7	5	125	1.6
Krupnik z kaszy gryczanej	43	1.7	1.2	7.2	24	150	9	0.4	3.6	553	0.9
Krupnik z kaszy jęczmiennej I	40	1.5	0.9	7.4	23	143	9	0.3	3.6	553	0.9
Krupnik z kaszy jęczmiennej II	44	1.3	1.2	7.6	15	114	3	0.3	2	21	0.6
Krupnik z ryżu	43	1.5	1.1	7.6	24	137	8	0.3	3.6	553	0.8
Zupa cebulowa	44	1.4	2.7	4	35	41	12	0.2	0.8	27	0.4
Zupa cytrynowa z ryżem	58	1.4	2.2	8.7	24	49	7	0.2	1.6	484	0.6
Zupa fasolowa	63	4	1.8	10	17	193	27	1.1	0.5	19	2.4
Zupa grochowa	66	4.4	2.4	8.9	21	148	9	0.8	0.2	17	2.2
Zupa grzybowa zabielana	26	1.3	1.8	1.3	23	43	9	0.2	0.6	30	0.2
Zupa jarzynowa	28	1.4	1.1	4.3	79	133	18	0.5	3.3	891	1.2
Zupa jarzynowa ze śmietaną	43	1.7	1.8	6.2	28	177	17	0.4	6.4	572	1.1
Zupa kalafiorowa I	27	1.6	0.5	4.9	27	130	15	0.3	8.9	557	1
Zupa kalafiorowa II	34	1.8	2.3	2.1	33	68	10	0.2	8.6	8	0.6
Zupa ogórkowa	42	1.4	2	5	84	112	9	0.2	1.7	16	0.4
Zupa owocowa z jabłek	42	0.1	0.1	10.6	1	38	2	0.1	1.4	7	0.6
Zupa pomidorowa	11	1	0.1	2.1	22	85	9	0.3	2.8	685	0.5
Zupa pomidorowa z makaronem	35	1.5	1.8	3.3	26	54	10	0.2	1	116	0.2
Zupa pomidorowa z ryżem	37	1.5	1.8	3.9	25	54	10	0.2	1	116	0.2
Zupa pomidorowa zabielana I	17	1.2	0.6	2.3	24	92	15	0.3	2.8	688	0.5
Zupa pomidorowa zabielana II	28	1.3	1.8	1.9	25	51	10	0.2	1	116	0.1
Zupa selerowa	38	1.6	1.8	4.5	35	121	13	0.2	2	29	0.8
Zupa selerowa z grzankami	51	1.8	1.9	8.1	75	104	15	0.4	2.7	555	1.4
Zupa szczawiowa	40	1.6	2.5	2.9	30	62	31	0.2	1.4	271	0.2
Zupa szpinakowa z ziemniakami	40	2.2	0.9	6.6	33	180	39	0.6	7	1012	1
Zupa z fasoli szparagowej	43	2.2	0.6	8.9	124	233	31	0.9	4.9	655	1.8
Zupa z porów z makaronem	58	2.4	1.4	10.3	30	122	20	0.5	4.2	1174	1.4
Zupa z zielonego groszku	57	3.2	1.2	11.2	97	191	24	0.9	3.7	1073	3.1
Zupa ziemniaczana	38	1.4	1.1	6.6	24	177	8	0.3	4.3	553	0.9
Zupa ziemniaczana ze śmietaną	47	1.5	1.9	6.5	22	151	9	0.2	2.7	27	0.5
Żurek	124	2.2	3.1	23.5	7	276	13	0.5	4.5	30	1.9
Zupa neapolitańska	63	2.2	2.6	8.2	38	42	36	0.2	0.5	277	0.5
Kasza manna na wywarze jarzynowym	21	0.5	0.8	3.4	5	30	4	0.1	2	369	0.4
Kasza jęczmienna na mleku	63	2.6	2.2	8.5	29	109	78	0.2	0.5	13	0.4
Kasza manna na mleku	66	2.7	2.1	9.3	28	96	76	0.1	0.5	12	0.2
Kluski lane na mleku	69	3.6	3.1	6.8	43	129	104	0.2	0.7	17	0.1
Makaron na mleku	66	2.9	2.3	8.5	30	102	78	0.2	0.4	14	0.2
Płatki owsiane na mleku	62	2.7	2.3	8.2	24	106	68	0.4	0.4	11	0.6
Ryż na mleku	66	2.7	2.1	9.1	29	99	77	0.1	0.5	13	0.2
Dorsz w jarzynach	117	15.6	4.9	3.9	109	439	23	0.8	7.9	1603	1.4
Filety z dorsza po grecku	152	10.6	10.8	4.6	70	338	19	0.7	7	1146	1.2
Filety z dorsza smażone, panierowane	273	19.1	15.8	14.6	167	404	15	1.1	1	1	1
Karp w galarecie (z warzywami)	136	26.1	2.9	2.1	97	295	20	0.7	4.3	905	0.9
Karp z wody (bez warzyw)	102	16	3.7	2	41	414	21	0.8	7.4	965	1
Kotlet mielony z dorsza	259	14.9	17.8	10.9	144	333	28	0.8	1.3	3	0.7
Pulpety z dorsza	112	14.2	2.6	8.8	131	348	17	0.9	3.3	778	1.1
Dorsz z rusztu	172	22.1	9.1	0.6	91	461	17	0.6	7.6	102	0.2
Łosoś smażony saute	380	21.1	31.4	4.1	53	391	15	1.1	1	15	0.1
Łosoś z rusztu	283	20.7	22.3	0.6	54	403	19	1.2	6.2	102	0.2
Cielęcina w potrawce	103	13.5	4	4	60	262	15	1.2	2.7	826	0.8
Klopsiki cielęce mielone	250	16.2	14.6	14.3	145	286	57	1.5	0.4	15	0.7
Kotlet cielęcy panierowany	364	27.1	21.3	17.4	206	526	23	4.1	0	14	1.2
Pieczeń cielęca duszona	192	20.1	11.8	1.7	89	406	13	2.9	0.2	194	0.2
Kotlet mielony z kury	382	19.9	27.8	14.3	157	342	42	2.1	0.2	30	0.7
Kura w galarecie	192	27.3	8.9	1.2	65	238	14	1.1	2	443	0.5
Kurczak gotowany w jarzynach	99	7.6	6.4	4.6	45	235	25	0.8	7.5	1516	1.7
Kurczęta pieczone	179	16.4	12.7	0.1	61	276	12	1.1	2.1	56	0.1
Potrawka z kurczaka	148	13.2	9	4.7	56	278	16	1	3.3	1147	1
Kotlety z kurczaka smażone saute	241	20.3	16.5	3.3	51	361	6	0.4	0	18	0.1
Kotlety z kurczaka smażone panierowane	247	19.7	15.7	7.6	107	349	12	0.7	0	17	0.6
Bitki wieprzowe	195	10.4	16.1	2.6	36	177	4	0.7	0	0	0.1
Bitki wieprzowe w jarzynach	199	10.7	16	4.3	51	239	12	0.9	2.2	786	0.9
Galaretka z nóżek wieprzowych	202	16.9	14.9	0.8	121	121	21	1.6	1.3	374	0.4
Kotlet schabowy panierowany	351	19	24.1	15.9	111	308	20	1.3	0	1	1
Wieprzowina pieczona	278	15.4	24.4	0	55	264	5	1.1	0	0	0
Pieczeń wieprzowa duszona	225	11.4	19.8	1.2	37	203	6	0.8	0.5	1	0.2
Rolada wieprzowa	412	21.1	32.5	10	133	356	12	1.6	0	24	0.4
Schab pieczony I	317	32.2	21.1	0	73	526	24	1.5	0	0	0
Schab pieczony II	291	30.4	18.7	0.7	61	507	24	1.5	0.6	1	0.2
Stek wieprzowy	472	21.7	42.7	1.5	84	382	25	1.8	0.1	14	0.1
Wątróbka wieprzowa saute	239	20.5	15.5	4.9	77	305	14	17.1	21.9	24	0.3
Wieprzowina gotowana	364	22.6	30	3.1	95	491	21	1.8	5.8	1715	1.4
Żeberka duszone wieprzowe	210	7.9	19.2	2.2	32	138	16	0.7	0.5	1	0.2
Befsztyk bity wiejski	258	19.4	19.6	1.6	40	372	19	3.3	0.6	10	0.2
Bitki wołowe	103	13.6	4.3	2.4	53	242	3	1.5	0	0	0.1
Bitki wołowe w jarzynach	116	14.3	4.4	6.6	87	389	21	1.8	6.7	2781	2
Boeuf Strogonow	219	19.5	14.3	3.7	60	341	21	2.2	0.8	34	0.3
Bryzol wołowy z polędwicy	252	24.6	16.6	1.4	63	467	6	3.8	0	13	0
Gulasz wołowy	148	14	9.2	2.6	53	267	6	1.6	1.2	90	0.3
Polędwica wołowa pieczona	168	19.7	9.9	0	61	376	5	3	0	0	0
Pieczeń wołowa duszona	156	15.8	9.5	2	58	286	4	1.8	0.2	0	0.1
Sztuka mięsa I	247	33.9	11.4	3.8	127	675	32	4	6.8	2162	1.7
Sztuka mięsa II	223	30.6	10.3	3.2	107	592	31	3.6	9.3	884	1.3
Zrazy wołowe zawijane ze słoniną	145	12.1	9.4	3.2	45	222	4	1.4	0.5	1	0.2
Klopsiki mielone z mięsa mieszanego	272	13.5	17.5	15.9	113	234	10	1.3	0.4	1	0.6
Kotlet mielony z mięsa mieszanego	284	13	21.1	11.8	108	232	10	1.3	0.4	1	0.7
Pasztet z mięsa mieszanego	361	15	31.1	6.6	94	240	14	4.2	4.5	4	0.4
Pieczeń rzymska	208	14.4	11.4	12.7	136	250	9	1.5	0	1	0.6
Pulpety z mięsa mieszanego	223	18.7	11.1	13.4	155	396	20	2.1	4.3	1260	1.4
Medaliony z indyka	247	18.6	17.9	3.4	45	442	3	0.5	0	15	0.1
Bigos popularny	119	5.1	9.9	3.9	170	193	28	0.6	3.3	36	1.3
Fasolka po bretońsku	141	8	6.6	15.9	152	332	41	1.9	1.1	50	3.6
Gołąbki z mięsem i ryżem w sosie pomidorowym	108	3.6	6.7	10	20	200	38	0.4	22.6	222	1.7
Papryka nadziewana mięsem i ryżem	160	4.4	10.6	13.7	16	239	16	0.7	63	1504	1.7
Risotto z mięsem i warzywami	185	6.6	10	18.3	33	169	18	0.6	2.3	1016	1.2
Mizeria ze śmietaną	33	1	2.2	2.8	15	112	30	0.2	3.2	120	0.4
Sałata zielona z pomidorem, ogórkiem i olejem	56	0.9	4.7	3.6	6	152	15	0.5	7.1	592	1
Sałata zielona z olejem	111	1	11.6	2.1	3	99	18	0.5	5.3	755	1
Sałata zielona ze śmietaną	41	1.4	2.3	4.5	10	113	35	0.5	4.9	704	0.9
Surówka z cykorii i jabłek	161	1	16.4	3.8	4	130	17	0.6	2.7	633	0.8
Surówka z kapusty białej	67	1.6	4.7	7	17	204	59	0.3	22.6	40	2.3
Surówka z kapusty kwaszonej	68	0.9	4.7	7.5	176	174	27	0.4	9.9	15	1.9
Surówka z marchwi	47	1.1	2.3	7.7	51	199	39	0.3	2.8	4723	2.3
Surówka z marchwi i jabłek	59	1	0.3	16.6	70	287	32	0.5	4.8	7497	3.8
Surówka z ogórków i pomidorów	32	1.1	1.8	3.6	14	157	27	0.3	7.6	211	0.7
Surówka z owoców	103	0.5	0.3	25.9	2	149	11	0.4	4.1	103	1.8
Surówka z owoców i warzyw	148	1.1	14.3	5.1	8	141	12	0.5	4.8	437	1
Surówka z papryki	91	1	7.5	6.3	6	201	15	0.5	36.1	1311	1.3
Surówka z pomidorów	14	0.8	0.2	3.2	7	253	8	0.4	11.5	511	1.1
Surówka z porów z jabłkami	141	1.7	12.5	7.9	5	190	34	0.9	15	518	2.2
Surówka z rzodkiewki	93	7.5	5.9	3.5	25	147	67	0.4	8.1	276	0.9
Surówka z selerów	92	1.1	7.5	8.9	58	236	27	0.4	7	16	3.6
Surówka z selerów, jabłek i marchwi	60	0.9	0.4	16.5	44	240	22	0.4	9.1	1978	3.5
Surówka z kapusty pekińskiej, jabłek, papryki z olejem	53	1.1	3.8	5.7	7	172	35	0.4	32.5	799	2.1
Surówka z kapusty pekińskiej z majonezem	94	1.6	8.1	6	29	169	44	0.4	20.2	752	2.2
Surówka wielowarzywna z jogurtem naturalnym	35	1.7	0.6	7	17	222	45	0.5	55.1	909	1.3
Brukselka z wody	110	4.2	7.1	12	22	348	49	0.8	68.6	353	4.6
Buraki	70	1.5	3.5	10	46	278	33	1.4	7.1	8	1.8
Buraki z jabłkami	70	1.5	3.3	10.3	44	272	32	1.3	7.3	10	1.8
Buraki zasmażane	84	1.6	5.5	8.7	39	265	32	1.3	6.8	8	1.7
Buraki ze śmietaną	68	1.8	3.6	8.8	46	274	42	1.3	6.6	15	1.7
Ćwikła	40	1.6	0.1	10.2	42	311	36	1.4	11.2	9	2.1
Dynia z pomidorami	44	1.2	2.4	6.5	5	269	44	0.7	11.4	1823	2.1
Fasolka szparagowa	97	2.9	6.9	10.3	21	288	71	1.2	22.5	385	4.3
Groszek zielony z masłem	100	3.7	6.8	9.3	2	192	13	1	16.4	223	3.2
Kalafior z wody	83	2	6.8	5.5	32	150	11	0.5	41.1	33	1.8
Kapusta biała zasmażana	69	1.6	4.7	7.2	16	180	52	0.3	32.4	35	2
Marchewka z groszkiem I	64	1.7	3.1	10.8	90	204	31	0.7	2.6	5725	3.4
Marchewka z groszkiem II	82	1.9	5.5	9.4	87	206	44	0.6	2.4	5327	3
Marchewka zasmażana	69	1	4.8	8.4	66	228	30	0.4	1.5	7079	2.9
Sałatka jarzynowa	192	2.9	16.5	10.9	78	252	27	1	5.6	702	2.5
Sałatka z groszku zielonego	159	4	13.1	10.4	115	113	31	1.3	2.1	126	3.7
Sałatka z czerwonej kapusty	83	1.4	6.5	7	8	211	33	0.4	21.1	13	2.1
Szpinak zasmażany	82	3.7	6.1	6.2	37	283	123	3.1	73.4	4097	2.9
Sałatka jarzynowa z majonezem i jogurtem naturalnym	116	3.2	7.5	11.6	118	269	41	0.9	5.7	703	2.5
Pieczarki smażone	232	3.4	24.3	3.3	9	352	16	1.1	4.7	71	2.4
Bliny ziemniaczane	257	5.6	16.3	23.6	100	371	59	1	8.6	16	1.4
Budyń z mięsa i makaronu	171	10.6	4.4	23.1	60	223	44	1.4	1.4	346	1.1
Kasza gryczana na sypko z masłem roślinnym	132	4.5	2.3	25	4	160	9	1	0	0	2.1
Kasza gryczana na sypko ze smalcem	139	4.8	3	25	7	164	9	1	0	0	2.1
Kasza perłowa na sypko z masłem roślinnym	114	2.2	2	23.6	3	83	6	0.5	0	0	2
Kasza perłowa na sypko ze smalcem	119	2.2	2.5	23.6	1	83	6	0.5	0	0	2
Kluski kładzione	165	5.1	1.3	33.8	12	60	12	0.7	0	1	1.2
Kluski lane	93	4.1	2	14.9	26	46	12	0.6	0	2	0.5
Knedle ze śliwkami	162	2.7	5.9	25.8	13	256	12	0.6	6.2	101	1.5
Kopytka	147	4	0.7	32.3	11	342	10	0.7	8.8	4	1.7
Kopytka z masłem	151	3.6	1.5	31.8	7	328	9	0.6	8.5	7	1.6
Kulebiak	222	7.6	12.7	20.1	28	134	24	0.8	0.1	2	0.8
Leniwe pierogi z sera i ziemniaków	220	12.8	10.1	20.1	39	154	58	0.5	1.9	48	0.7
Leniwe pierogi z sera	242	14.5	13.9	15.1	62	101	68	0.5	0	39	0.3
Makaron z masłem	126	3.6	1.8	24.4	5	55	8	0.4	0	4	0.9
Makaron	107	3.3	0.7	22.3	5	50	7	0.4	0	0	0.8
Makaron z serem	140	6.3	5.2	17.5	12	51	25	0.3	0	22	0.6
Naleśniki z kapustą	147	3.2	9.2	15.2	24	207	67	0.5	31.4	36	2.2
Naleśniki z serem	242	10.1	10.3	27.4	39	94	60	0.5	0.1	40	0.4
Pierogi ruskie	167	5.6	5	25.7	11	218	19	0.5	4.9	22	1.2
Pierogi z mięsem I	146	7.1	4.1	20.5	33	104	8	0.8	0	9	0.7
Pierogi z mięsem II	219	12	11.6	17.3	37	185	11	1.4	0.2	1	0.7
Pierogi z serem I	237	11.2	8.4	29.7	29	86	48	0.5	0	25	0.8
Pierogi z serem II	238	10.9	9.9	26.8	23	79	50	0.6	0	42	0.6
Pierogi z truskawkami	240	3.8	11.4	32.3	31	99	19	0.8	22.8	48	1.8
Risotto z mięsem	229	7.4	11.8	24.2	25	145	7	0.6	1	56	0.9
Ryż na sypko z masłem roślinnym	135	2.4	1.5	28.4	4	40	4	0.3	0	0	0.9
Ryż na sypko ze smalcem	124	2.1	2	24.9	2	35	3	0.3	0	0	0.8
Ryż z jabłkami	153	2	2.1	32.3	13	93	21	0.3	3.5	9	1.2
Ziemniaki puree	90	2.1	1.4	18.4	10	446	12	0.5	3.9	10	1.5
Ziemniaki z tłuszczem	105	2	3.1	18.7	12	454	4	0.5	4	5	1.5
Pyzy	210	3.7	6.2	37.4	14	897	8	1.1	17.9	8	3
Pyzy z mięsem	292	7.8	14	36.2	37	714	11	1.2	17.8	7	2.6
Placki ziemniaczane	231	3.6	14.5	23.6	20	503	21	0.8	13.6	7	1.8
Makaron zapiekany z kapustą słodką	138	3.6	5.2	21.3	16	187	49	0.5	27.2	30	2.3
Kluski śląskie	169	2.6	3.8	32.1	16	377	12	0.6	10.4	4	1.4
Kotlety ziemniaczane	241	4.3	12.8	29.3	37	506	13	0.9	13.5	6	2.2
Łazanki z kapustą	147	3.5	7	18.9	17	131	33	0.6	18.5	21	1.6
Ciasto naleśnikowe biszkoptowe	186	8.2	5.9	25.5	65	145	74	1.1	0.4	8	0.7
Ciasto naleśnikowe bez piany	174	5.9	4.3	28.4	31	111	52	0.7	0.3	5	0.9
Jaja sadzone	168	9.9	14.2	0.6	111	105	38	1.7	0	36	0
Jajecznica	119	9.8	8.7	0.5	111	104	37	1.7	0	9	0
Kotlety z jaj	275	7.9	22.7	10.8	143	112	49	1.3	0.2	61	0.5
Omlet biszkoptowy ze szpinakiem	137	5.8	9.7	9.4	53	247	98	3	32.6	3291	2.5
Jaja gotowane	109	9.8	7.6	0.5	110	104	37	1.7	0	9	0
Buchty drożdzowe	303	6.2	11	45.6	32	101	44	1	0.2	4	1.3
Gruszki w sosie waniliowym	152	1.6	1.1	34.8	15	112	36	0.3	1	9	1.4
Jabłko pieczone	93	0.3	1.6	20.8	2	105	3	0.2	5.6	22	1.6
Jabłka w kruchym cieście	347	4.1	17.4	45.3	36	109	13	0.7	3.8	11	1.8
Kisiel porzeczkowy	98	0.3	0.1	25.7	1	77	12	0.3	8.2	12	2
Kisiel waniliowy	121	3.3	4.5	16.6	38	118	103	0.4	0	17	0
Kompot z jabłek	51	0.2	0.1	13.2	1	52	3	0.1	1.4	7	1
Kompot z wiśni	69	0.2	0.1	16.9	1	38	3	0.1	0.8	54	0.3
Lody waniliowe	139	2.7	1.6	28.1	35	72	53	0.2	0	5	0
Mus jabłkowy	127	2.2	0.5	28.7	38	84	3	0.2	1.1	9	0.8
Napój mleczny z truskawkami	109	1.2	0.7	24.9	11	87	39	0.3	26.3	9	0.7
Rolada biszkoptowa z dżemem	304	6.9	5.4	56.8	72	98	29	1.3	2.7	8	0.6
Truskawki w galaretce	127	15.4	0.2	16	6	50	11	0.2	22.8	5	0.6
Truskawki z bitą śmietaną	127	1.1	10.4	8.4	11	104	43	0.4	34.7	71	0.9
Befsztyk tatarski	195	18.4	12.3	3.4	197	340	40	3.1	1.1	14	0.5
Pasta z jaj	197	7.2	18.6	1.2	78	132	44	1.6	14.3	569	0.4
Pasta z jaj i ryby wędzonej	262	13.3	23.1	1.2	577	191	24	1.3	3.1	206	0.3
Pasta z twarogu i ryby wędzonej	273	15.2	23	1.9	344	131	48	0.4	0	33	0
